id_transacao,data_da_venda,nome_produto,categoria_prod,qtd_vendida,preco_unitario,uf_cliente,id_cliente,forma_pagamento
TRN-23460,22/05/2026,Notebook X,Eletronicos,12,"R$ 3.815,60",CE,1269,cartao de credito
TRN-35919,24.02.26,NOTEBOOK X,Eletronicos,,"R$ 3.374,96",RS,7908,Boleto Bancario
TRN-46862,03-13-2026,MOUSE SEM FIO,Perifericos,9 pcs,"126,90",PE,2149 ,Pix
TRN-7488,06/06/2026,monitor 24,,6,812.29,PR,ID-9410,Boleto Bancario
TRN-37325,2026-03-01,,ND,9,BRL 239.43,CE,4583,Cartao de Credito
TRN-32918,09/01/2026,Fone de Ouvido,Audio,8,"R$ 163,08",GO-,3723,cartao de credito
15955,23.06.26,,,11,BRL 114.25, SP ,1747 ,Pix
TRN-4743,28.05.26,,Perifericos,3.0,BRL 125.39,RS,7875,Pix
TRN-26805,2026/01/18 00:00:00,Smartphone Y,,2,BRL 2305.92,PE,2050,Cartao de Credito
TRN-15743,2026-04-26,Monitor 24,ND,14,"R$ 836,79",RJ,9855,PIX
TRN-24924,02-20-2026,Smartphone Y,eletronicos,12,2198.7093681601027,SP,5952,Cartao de Credito
TRN-46839,13.05.26,Notebook X,Eletronicos,14,sem preco,RJ,2707,boleto bancario
TRN-12702,2026-01-10,MOUSE SEM FIO,Perifericos,2,"121,53",BA,1931,Boleto Bancario
TRN-40252,05-15-2026,,Perifericos,-4,"R$ 801,50",RS,2284,Pix
TRN-45013,22/01/2026,SMARTPHONE Y,Eletronicos,12,"1992,05",SP,8162,Pix
26476,18.04.26,,Eletronicos,12 pcs,BRL 3208.75,BA,7764,Cartao de Credito
TRN-40321,02-20-2026,Fone de Ouvido,Audio,13,"R$ 196,65",CE,5594,Cartao de Credito
TRN-26744,2026/06/18 00:00:00,Fone de Ouvido,,12 pcs,BRL 177.50,RS-,3835,Cartao de Credito
28299,2026-05-13,teclado mecanico,Perifericos,4,"233,25",MG,2943,Pix
TRN-47097,02.05.26,,Eletronicos,4,BRL 1189.18,rs,4432,Boleto Bancario
TRN-30097,N/A,Mouse Sem Fio,ND,13,BRL 116.01,RS,7291,cartao de credito
TRN-18471,19/01/2026,TECLADO MECANICO,Perifericos,6,BRL 269.43,MG,3143,CC
TRN-31186,2026/05/18 00:00:00,Tablet Z,eletronicos,8,1247.61,SP,3394,Boleto Bancario
TRN-38585,03-10-2026,Monitor 24,Perifericos,5,823.3065269966282,SC,ID-8889,Pix
TRN-1408,2026-03-15,Mous3 S3m Fio,ND,4 pcs,121.84284290263332,PR,3088,pix
TRN-14494,05/01/2026,fone de ouvido,Audio,15,192.4408214833811, SP ,3937,Boleto Bancario
TRN-8549,08.05.26,Smartphone Y,Eletronicos,3,"1977,03",sp,6867,Boleto Bancario
28672,03-29-2026,,Perifericos,-13,115.94,BA,4041,boleto bancario
TRN-49145,27/01/2026,Monitor 24,Perifericos,2.0,sem preco,PE,ID-6620,
TRN-21321,08/02/2026,,perifericos,3,BRL 242.69,BA,3746,Pix
TRN-8313,29/05/2026,  Tablet Z ,Eletronicos,7,"1143,87",rs,3266,CC
TRN-26205,2026-02-13,Tablet Z,Eletronicos,10 pcs,1176.91,BA-,3786 ,Cartao de Credito
TRN-9957,2026-05-17,  Notebook X ,Eletronicos,2,3454.34,BA,1119,Boleto Bancario
TRN-3702,12.01.26,Monitor 24,Perifericos,1,805.5432370734703,RS,6368 ,
TRN-22019,04/04/2026,Mouse Sem Fio,Perifericos,2,"118,13",RS,4744,Pix
TRN-1169,2026-06-06,MOUSE SEM FIO,Perifericos,12.0,"125,44",PR,3612,Cartao de Credito
TRN-37026,05-29-2026,monitor 24,Perifericos,14 pcs,"789,65",SP,1704,BOLETO BANCARIO
TRN-8720,07/02/2026,Notebook X,,10,BRL 3847.18, SC ,8167,Boleto Bancario
TRN-31201,06-07-2026,Mouse Sem Fio,Perifericos,,"R$ 122,91",rj,3548,PIX
TRN-9712,2026/06/13 00:00:00,Notebook X,Eletronicos,7,"3227,89",MG,7878,CC
TRN-28384,05-05-2026,  Monitor 24 ,Perifericos,13,BRL 728.78,SC,7227,Pix
TRN-35236,15/06/2026,Monitor 24,,1,BRL 724.01,PE,2866,Boleto Bancario
TRN-23612,17/02/2026,notebook x,Eletronicos,2,BRL 3500.32,PE,2240 ,Boleto Bancario
TRN-47501,2026/03/19 00:00:00,  Smartphone Y ,Eletronicos,12,BRL 2051.69,BA,5735,Cartao de Credito
TRN-41951,2026-03-06,Fone de Ouvido,Audio,7,"R$ 197,86",rj,ID-6236,Pix
TRN-45325,2026-03-06,Teclado Mecanico,perifericos,10,230.83,GO,4719,Pix
TRN-23962,N/A,TECLADO MECANICO,Perifericos,9,266.19,Sao Paulo,3256,BOLETO BANCARIO
TRN-45478,29/06/2026,Teclado Mecanico,,6,sem preco,PE,2333,Pix
2236,10.04.26,Monitor 24,Perifericos,14,738.17,BA-,5408 ,CARTAO DE CREDITO
TRN-46317,28.03.26,Notebook X,Eletronicos,11,"R$ 3.168,15",GO,6084,cartao de credito
TRN-27085,2026/02/03 00:00:00,Teclado Mecanico,Perifericos,4,BRL 239.18,RJ,4329,Pix
TRN-42448,2026-01-07,Teclado Mecanico,perifericos,7,BRL 248.50,rs,6002,Cartao de Credito
TRN-44618,10/05/2026,Teclado Mecanico,,-1,BRL 255.95,RS,ID-2489,Boleto Bancario
TRN-1104,11/05/2026,Monitor 24,perifericos,13,803.02,BA,1086,Pix
TRN-12007,26.05.26,Teclado Mecanico,Perifericos,14,BRL 243.68,RJ,ID-2386,Pix
TRN-46082,13/02/2026,Tablet Z,eletronicos,8,"R$ 1.138,27",PE-,1230,Cartao de Credito
TRN-14383,02-23-2026,FONE DE OUVIDO,ND,,165.49,rs,5342,Cartao de Credito
TRN-40537,02-15-2026,  Monitor 24 ,Perifericos,8,825.57,SC,2228,Pix
TRN-46841,N/A,Monitor 24,Perifericos,7,759.0422907383297,SC,1054,Boleto Bancario
TRN-3816,04/02/2026,,Audio,9,163.52,GO-,2808,Pix
TRN-44709,05-16-2026,smartphone y,Eletronicos,12,"2107,45",SP,6706 ,Boleto Bancario
TRN-8083,N/A,Fone de Ouvido,Audio,15,"R$ 163,04",RS,8898,
TRN-18236,2026/03/08 00:00:00,fone de ouvido,Audio,2,"R$ 166,30",SC,7144 ,Boleto Bancario
TRN-30344,N/A,  Smartphone Y ,Eletronicos,,1956.45,PR,5541,CARTAO DE CREDITO
TRN-14760,2026/01/29 00:00:00,Teclado Mecanico,Perifericos,2,227.0574409284344,RS,1582,Boleto Bancario
TRN-6175,2026/06/19 00:00:00,Fone de Ouvido,Audio,4,BRL 166.02,GO-,4876,CARTAO DE CREDITO
TRN-46679,24.06.26,Fone de Ouvido,,-10,"R$ 166,71",RS,2639,Pix
TRN-38854,06-29-2026,Smartphone Y,,13.0,"R$ 2.107,08",GO,9790,Boleto Bancario
TRN-8250,10.05.26,Tablet Z,Eletronicos,10,1154.89,rs,1906,Pix
TRN-46731,25.05.26,Smartphone Y,Eletronicos,-3,1900.05,PR,9895 ,Pix
49183,02-11-2026,,Perifericos,9,BRL 795.61,CE,7211,Boleto Bancario
TRN-22434,2026/05/22 00:00:00,Notebook X,eletronicos,12,"R$ 3.550,33",PE,7825,CARTAO DE CREDITO
TRN-18952,2026-02-04,SMARTPHONE Y,ND,5,BRL 2079.65,sp,2408,Boleto Bancario
TRN-39986,2026/04/27 00:00:00,Mouse Sem Fio,Perifericos,3,127.39985815442073,PR,9598,Cartao de Credito
TRN-11814,2026/04/06 00:00:00,,Perifericos,3,BRL 806.29,rj,3354,CC
TRN-1341,2026/03/19 00:00:00,Mouse Sem Fio,Perifericos,12.0,"R$ 110,20",GO,1666,PIX
TRN-34489,01-02-2026,,Perifericos,1,"R$ 772,46",Rio de Janeiro,4059,Boleto Bancario
TRN-34658,06-16-2026,  Notebook X ,Eletronicos,7,"R$ 3.748,38",pe,3375,Pix
TRN-24188,04-05-2026,Notebook X,Eletronicos,11,3232.6317129497406, RJ ,2397,Pix
TRN-17132,01-09-2026,Tablet Z,,,1143.49,SP-,4625,Boleto Bancario
TRN-39571,02-12-2026,Sm@rtphon3 Y,Eletronicos,5,BRL 1967.01,PE,6122,Pix
TRN-6559,10/03/2026,Monitor 24,Perifericos,6,BRL 720.33,RS-,1969 ,BOLETO BANCARIO
TRN-39389,27/05/2026,SMARTPHONE Y,Eletronicos,15,"R$ 1.968,47",MG-,3562,Boleto Bancario
TRN-15696,2026-04-04,  Notebook X ,Eletronicos,5,BRL 3717.82,CE,3115 ,Pix
TRN-43922,20/04/2026,Tablet Z,,5,1082.43,PE,ID-7702,Cartao de Credito
TRN-44171,2026/02/09 00:00:00,Mous3 S3m Fio,Perifericos,11,"R$ 111,65",SP,2331,Boleto Bancario
TRN-461,N/A,NOTEBOOK X,Eletronicos,9,"3206,14",SC-,2245,PIX
TRN-40013,21.05.26,  Monitor 24 ,Perifericos,3,"788,44",SC,5103 ,Boleto Bancario
TRN-31662,2026/01/12 00:00:00,Tablet Z,Eletronicos,13,BRL 1162.62,SC,7473,Pix
TRN-21851,2026-01-14,,Eletronicos,1,1314.8276017413627,CE,6746,Pix
TRN-10901,06-11-2026,Fone de Ouvido,Audio,5,181.2972461505114,SC,6374,Cartao de Credito
TRN-12981,21.01.26,Fon3 d3 Ouvido,Audio,11,BRL 164.82,pe,3226,pix
TRN-17901,20/01/2026,Fone de Ouvido,Audio,8 pcs,"182,27",RJ,9083,Cartao de Credito
TRN-9127,2026/03/23 00:00:00,Fone de Ouvido,Audio,5,"188,74",CE,3533,Pix
4412,2026-01-03,,Eletronicos,,sem preco,RS-,7406,Boleto Bancario
TRN-28393,27/04/2026,Smartphone Y,Eletronicos,12,sem preco,SC-,9205,Cartao de Credito
TRN-33121,04.02.26,  Mouse Sem Fio ,,5,sem preco,MG,8428,Pix
TRN-29491,2026-03-07,FONE DE OUVIDO,Audio,9 pcs,"185,81",BA,6522,Boleto Bancario
TRN-23206,2026/05/25 00:00:00,smartphone y,Eletronicos,13,"2006,29",SP,7969,PIX
TRN-37048,01-21-2026,TECLADO MECANICO,Perifericos,1,"R$ 256,11",rs,1178,Pix
TRN-1121,2026-06-25,T3cl@do M3c@nico,perifericos,4,245.13890465089557,MG,4398,Cartao de Credito
15025,2026/05/02 00:00:00,,Audio,2,BRL 193.43,MG,ID-6989,Cartao de Credito
TRN-11216,05-11-2026,,Audio,,"R$ 163,57",RJ,7064,Pix
TRN-36784,2026-01-01,Mouse Sem Fio,Perifericos,15,129.00,BA,1353,Cartao de Credito
TRN-36432,2026/04/17 00:00:00,Fone de Ouvido,Audio,-8,"165,10",Rio de Janeiro,8440,Pix
TRN-17397,01/06/2026,Teclado Mecanico,Perifericos,9,BRL 258.53,CE,2796,CC
TRN-25029,05-11-2026,smartphone y,eletronicos,6,1967.48,SC,ID-4261,Pix
TRN-37190,02.05.26,Monitor 24,Perifericos,4,BRL 852.20,CE,2308,Pix
TRN-43675,13.02.26,,Eletronicos,10,BRL 1915.55,RS,6770,Boleto Bancario
TRN-25116,26.04.26,Notebook X,Eletronicos,7,"R$ 3.158,07",SC,2830,PIX
TRN-48950,01-29-2026,Smartphone Y,eletronicos,3,BRL 2299.93,RJ,1540,Boleto Bancario
TRN-35274,03.02.26,Fone de Ouvido,ND,14,BRL 163.74,go,5745,Boleto Bancario
TRN-40671,04.06.26,Tablet Z,Eletronicos,14,sem preco, BA ,7138,Cartao de Credito
TRN-26300,2026-06-26,Teclado Mecanico,ND,5,248.93,SP,1954,Pix
TRN-41753,03-13-2026,Smartphone Y,eletronicos,5,"2126,82",PE-,7922,Boleto Bancario
TRN-1486,23.04.26,,Perifericos,4,736.3908745079663,PR,8942,Pix
TRN-36413,27.03.26,Mouse Sem Fio,Perifericos,4,"R$ 123,23",ba,9456,Cartao de Credito
TRN-47936,23.06.26,Fone de Ouvido,Audio,10,179.68180923878862,SC,9777 ,Pix
TRN-31224,11.03.26,Sm@rtphon3 Y,ND,3,1922.2951286862135,sc,9315,Boleto Bancario
TRN-11618,N/A,monitor 24,Perifericos,1,754.9913831803722,GO,3251,PIX
TRN-21340,19/06/2026,Fone de Ouvido,Audio,12,"R$ 189,96",PE,6630 ,Pix
TRN-46555,05-24-2026,Smartphone Y,eletronicos,7,"2015,83",RS,3537,Cartao de Credito
TRN-1933,2026-06-01,fone de ouvido,ND,7,"176,95",SC,3155,PIX
TRN-5077,25.03.26,,Perifericos,13,798.44,MG-,3977,boleto bancario
TRN-45394,2026/03/06 00:00:00,MONITOR 24,Perifericos,13,BRL 810.61,SC,ID-4016,Cartao de Credito
TRN-42320,2026/03/25 00:00:00,Mouse Sem Fio,Perifericos,-13,114.94,SC,6197,Pix
22930,2026-05-28,,Eletronicos,13,2237.220312482676,BA,5194,Pix
TRN-4732,2026/03/15 00:00:00,Teclado Mecanico,Perifericos,12,257.0473199721546, PR ,7575,Pix
TRN-6828,04-13-2026,,Audio,11,BRL 162.86,PE,1936,Cartao de Credito
43827,28/03/2026,Smartphone Y,Eletronicos,11,"R$ 2.270,49",PE,2246,Pix
TRN-39923,2026/06/14 00:00:00,,perifericos,2,BRL 231.07,GO,ID-1771,
TRN-38625,10/06/2026,Mouse Sem Fio,,15,112.44,PE,6847 ,Pix
TRN-5728,06/05/2026,Monitor 24,Perifericos,-8,759.2612690302198,BA,8622,Pix
TRN-39405,03-26-2026,Not3book X,Eletronicos,14,"R$ 3.183,19",Minas Gerais,9306,Cartao de Credito
TRN-8684,2026-04-02,Monitor 24,Perifericos,4,"869,61",go,4425,Pix
TRN-26732,2026-03-05,smartphone y,eletronicos,2,BRL 2093.62,go,3177,Boleto Bancario
TRN-6509,05/04/2026,Mouse Sem Fio,Perifericos,8,"R$ 108,70", RJ ,6709,Pix
TRN-27034,17/02/2026,tablet z,Eletronicos,6 pcs,1281.61,CE,4483,
TRN-33754,21/05/2026,MONITOR 24,Perifericos,3,877.7552112387873,sc,5601,Cartao de Credito
TRN-33268,01/06/2026,FONE DE OUVIDO,audio,9,"R$ 186,01",MG,9157,Cartao de Credito
TRN-21098,03-13-2026,TABLET Z,,13,"1178,74",BA,ID-5455,Pix
TRN-31203,19/06/2026,NOTEBOOK X,Eletronicos,13,BRL 3265.96,CE,9582,Pix
TRN-23012,13.01.26,  Teclado Mecanico ,Perifericos,2,BRL 261.74,MG,4522,Pix
TRN-24630,28.05.26,Teclado Mecanico,Perifericos,3,269.6193009658776,mg,1817,Boleto Bancario
TRN-21031,23/04/2026,Teclado Mecanico,Perifericos,6,BRL 233.23,pe,5649,BOLETO BANCARIO
TRN-44968,2026-02-20,Mouse Sem Fio,perifericos,12,"128,63",BA,8165,boleto bancario
TRN-28771,2026/05/27 00:00:00,Monitor 24,Perifericos,1,sem preco,RJ,5865 ,CARTAO DE CREDITO
TRN-869,06-22-2026,Monitor 24,Perifericos,3,"R$ 803,60",SC,8991,Pix
TRN-29179,05/04/2026,monitor 24,Perifericos,8,845.4624106377262,BA,3648,Boleto Bancario
TRN-14922,2026/04/28 00:00:00,Mous3 S3m Fio,Perifericos,,128.65,PE,8443,Pix
TRN-18694,04-01-2026,Tablet Z,Eletronicos,12,1290.7745645073046,PE,9609,Pix
TRN-14163,08/01/2026,Notebook X,Eletronicos,8,"3714,94", BA ,5260,Cartao de Credito
TRN-22179,2026-01-27,Notebook X,Eletronicos,15,3236.21,SC,9196,Pix
TRN-13025,2026-02-28,Notebook X,Eletronicos,13,"R$ 3.762,87",GO,6079,Cartao de Credito
TRN-16047,27.05.26,smartphone y,eletronicos,11,1976.590291725802,Minas Gerais,1457 ,cartao de credito
TRN-27393,30.01.26,Fon3 d3 Ouvido,Audio,13,BRL 195.02,CE-,9054,BOLETO BANCARIO
TRN-21081,2026/05/28 00:00:00,MONITOR 24,Perifericos,6,"R$ 754,14",GO,9485,Cartao de Credito
TRN-21510,27/01/2026,Smartphone Y,Eletronicos,8,BRL 2128.20,rs,4682 ,Pix
TRN-33295,25/05/2026,,Audio,10,"R$ 178,64",Rio de Janeiro,3872,Cartao de Credito
TRN-49376,04-02-2026,Fone de Ouvido,Audio,13,191.25,SC,8424,Cartao de Credito
TRN-45896,04-22-2026,MONITOR 24,Perifericos,10,BRL 867.28,PR,9777,Cartao de Credito
46050,19/06/2026,NOTEBOOK X,Eletronicos,6,"3659,85",BA,7402,pix
TRN-43859,2026-01-17,Mouse Sem Fio,Perifericos,5,113.91624523108182,BA,1982,Cartao de Credito
TRN-17118,2026-03-12,Tablet Z,Eletronicos,12,1301.18,CE,9415,Boleto Bancario
TRN-45702,06-28-2026,tablet z,,15,"1167,23",RS,ID-8372,Cartao de Credito
TRN-8948,N/A,FONE DE OUVIDO,Audio,11,"R$ 195,60",RS,1969,Pix
TRN-42987,02.03.26,Fone de Ouvido,Audio,10,sem preco,PR,ID-7542,PIX
TRN-35454,05/04/2026,Fone de Ouvido,Audio,2,"R$ 185,25",mg,3390 ,Boleto Bancario
TRN-31903,24/03/2026,Teclado Mecanico,Perifericos,6.0,"R$ 248,00",MG-,8568,Cartao de Credito
TRN-35710,02-04-2026,Notebook X,Eletronicos,3,"R$ 3.726,33",CE,6027,Boleto Bancario
TRN-21399,2026-05-03,Mouse Sem Fio,Perifericos,12,"R$ 129,76",Rio de Janeiro,7749,pix
TRN-14712,2026-01-27,  Mouse Sem Fio ,Perifericos,2 pcs,BRL 123.71,RS,8574,Pix
